time,strategy,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-04-27 09:30:00-04:00,MLstrategie,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLstrategie,SPY,buy,market,fill,1,gtc,0.0,1,stock,291.0199890136719,172.0,0.0
2020-04-27 12:30:00-04:00,MLstrategie,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-27 12:30:00-04:00,MLstrategie,SPY,buy,market,fill,1,gtc,0.0,1,stock,291.0199890136719,86.0,0.0
2020-04-27 15:30:00-04:00,MLstrategie,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-27 15:30:00-04:00,MLstrategie,SPY,buy,market,fill,1,gtc,0.0,1,stock,291.0199890136719,43.0,0.0
2020-05-13 08:30:00-04:00,MLstrategie,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-05-13 08:30:00-04:00,MLstrategie,SPY,sell,stop,fill,1,day,0.0,1,stock,276.46898956298827,172.0,0.0
2020-05-13 08:30:00-04:00,MLstrategie,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-05-13 08:30:00-04:00,MLstrategie,SPY,sell,stop,fill,1,day,0.0,1,stock,276.46898956298827,86.0,0.0
2020-05-13 08:30:00-04:00,MLstrategie,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-05-13 08:30:00-04:00,MLstrategie,SPY,sell,stop,fill,1,day,0.0,1,stock,276.46898956298827,43.0,0.0
2020-06-25 09:30:00-04:00,MLstrategie,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLstrategie,SPY,buy,market,fill,1,gtc,0.0,1,stock,306.1600036621094,156.0,0.0
2020-06-25 12:30:00-04:00,MLstrategie,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-06-25 12:30:00-04:00,MLstrategie,SPY,buy,market,fill,1,gtc,0.0,1,stock,306.1600036621094,78.0,0.0
2020-06-25 15:30:00-04:00,MLstrategie,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-06-25 15:30:00-04:00,MLstrategie,SPY,buy,market,fill,1,gtc,0.0,1,stock,306.1600036621094,39.0,0.0
2020-08-05 09:30:00-04:00,MLstrategie,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-08-05 09:30:00-04:00,MLstrategie,SPY,buy,market,fill,1,gtc,0.0,1,stock,331.4800109863281,18.0,0.0
2020-08-05 12:30:00-04:00,MLstrategie,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-08-05 12:30:00-04:00,MLstrategie,SPY,buy,market,fill,1,gtc,0.0,1,stock,331.4800109863281,9.0,0.0
2020-08-05 15:30:00-04:00,MLstrategie,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-08-05 15:30:00-04:00,MLstrategie,SPY,buy,market,fill,1,gtc,0.0,1,stock,331.4800109863281,5.0,0.0
2020-12-01 08:30:00-05:00,MLstrategie,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-12-01 08:30:00-05:00,MLstrategie,SPY,sell,limit,fill,1,day,0.0,1,stock,367.3920043945312,78.0,0.0
2020-12-01 08:30:00-05:00,MLstrategie,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-12-01 08:30:00-05:00,MLstrategie,SPY,sell,limit,fill,1,day,0.0,1,stock,367.3920043945312,156.0,0.0
2020-12-01 08:30:00-05:00,MLstrategie,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-12-01 08:30:00-05:00,MLstrategie,SPY,sell,limit,fill,1,day,0.0,1,stock,367.3920043945312,39.0,0.0
2021-03-15 08:30:00-04:00,MLstrategie,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-03-15 08:30:00-04:00,MLstrategie,SPY,sell,limit,fill,1,day,0.0,1,stock,397.77601318359376,5.0,0.0
2021-03-15 08:30:00-04:00,MLstrategie,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-03-15 08:30:00-04:00,MLstrategie,SPY,sell,limit,fill,1,day,0.0,1,stock,397.77601318359376,9.0,0.0
2021-03-15 08:30:00-04:00,MLstrategie,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-03-15 08:30:00-04:00,MLstrategie,SPY,sell,limit,fill,1,day,0.0,1,stock,397.77601318359376,18.0,0.0
2022-07-08 09:30:00-04:00,MLstrategie,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLstrategie,SPY,buy,market,fill,1,gtc,0.0,1,stock,387.2699890136719,148.0,0.0
2022-07-08 12:30:00-04:00,MLstrategie,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-07-08 12:30:00-04:00,MLstrategie,SPY,buy,market,fill,1,gtc,0.0,1,stock,387.2699890136719,74.0,0.0
2022-07-08 15:30:00-04:00,MLstrategie,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-07-08 15:30:00-04:00,MLstrategie,SPY,buy,market,fill,1,gtc,0.0,1,stock,387.2699890136719,37.0,0.0
2022-09-08 09:30:00-04:00,MLstrategie,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-09-08 09:30:00-04:00,MLstrategie,SPY,buy,market,fill,1,gtc,0.0,1,stock,402.739990234375,18.0,0.0
2022-09-08 12:30:00-04:00,MLstrategie,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-09-08 12:30:00-04:00,MLstrategie,SPY,buy,market,fill,1,gtc,0.0,1,stock,402.739990234375,9.0,0.0
2022-09-08 15:30:00-04:00,MLstrategie,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-09-08 15:30:00-04:00,MLstrategie,SPY,buy,market,fill,1,gtc,0.0,1,stock,402.739990234375,5.0,0.0
2022-09-12 09:30:00-04:00,MLstrategie,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-09-12 09:30:00-04:00,MLstrategie,SPY,buy,market,fill,1,gtc,0.0,1,stock,401.8299865722656,2.0,0.0
2022-09-12 12:30:00-04:00,MLstrategie,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-09-12 12:30:00-04:00,MLstrategie,SPY,buy,market,fill,1,gtc,0.0,1,stock,401.8299865722656,1.0,0.0
2022-09-12 15:30:00-04:00,MLstrategie,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-09-12 15:30:00-04:00,MLstrategie,SPY,buy,market,fill,1,gtc,0.0,1,stock,401.8299865722656,1.0,0.0
2022-09-15 08:30:00-04:00,MLstrategie,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-09-15 08:30:00-04:00,MLstrategie,SPY,sell,stop,fill,1,day,0.0,1,stock,382.6029907226562,9.0,0.0
2022-09-15 08:30:00-04:00,MLstrategie,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-09-15 08:30:00-04:00,MLstrategie,SPY,sell,stop,fill,1,day,0.0,1,stock,382.6029907226562,18.0,0.0
2022-09-15 08:30:00-04:00,MLstrategie,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-09-15 08:30:00-04:00,MLstrategie,SPY,sell,stop,fill,1,day,0.0,1,stock,382.6029907226562,5.0,0.0
2022-09-19 08:30:00-04:00,MLstrategie,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-09-19 08:30:00-04:00,MLstrategie,SPY,sell,stop,fill,1,day,0.0,1,stock,381.73848724365234,1.0,0.0
2022-09-19 08:30:00-04:00,MLstrategie,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-09-19 08:30:00-04:00,MLstrategie,SPY,sell,stop,fill,1,day,0.0,1,stock,381.73848724365234,1.0,0.0
2022-09-19 08:30:00-04:00,MLstrategie,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-09-19 08:30:00-04:00,MLstrategie,SPY,sell,stop,fill,1,day,0.0,1,stock,381.73848724365234,2.0,0.0
2022-09-22 08:30:00-04:00,MLstrategie,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-09-22 08:30:00-04:00,MLstrategie,SPY,sell,stop,fill,1,day,0.0,1,stock,367.90648956298827,148.0,0.0
2022-09-22 08:30:00-04:00,MLstrategie,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-09-22 08:30:00-04:00,MLstrategie,SPY,sell,stop,fill,1,day,0.0,1,stock,367.90648956298827,74.0,0.0
2022-09-22 08:30:00-04:00,MLstrategie,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-09-22 08:30:00-04:00,MLstrategie,SPY,sell,stop,fill,1,day,0.0,1,stock,367.90648956298827,37.0,0.0
2023-06-06 09:30:00-04:00,MLstrategie,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLstrategie,SPY,buy,market,fill,1,gtc,0.0,1,stock,428.44000244140625,128.0,0.0
2023-06-06 12:30:00-04:00,MLstrategie,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-06 12:30:00-04:00,MLstrategie,SPY,buy,market,fill,1,gtc,0.0,1,stock,428.44000244140625,64.0,0.0
2023-06-06 15:30:00-04:00,MLstrategie,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-06 15:30:00-04:00,MLstrategie,SPY,buy,market,fill,1,gtc,0.0,1,stock,428.44000244140625,32.0,0.0
2023-11-16 09:30:00-05:00,MLstrategie,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLstrategie,SPY,buy,market,fill,1,gtc,0.0,1,stock,449.2200012207031,16.0,0.0
2023-11-16 12:30:00-05:00,MLstrategie,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-16 12:30:00-05:00,MLstrategie,SPY,buy,market,fill,1,gtc,0.0,1,stock,449.2200012207031,8.0,0.0
2023-11-16 15:30:00-05:00,MLstrategie,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-16 15:30:00-05:00,MLstrategie,SPY,buy,market,fill,1,gtc,0.0,1,stock,449.2200012207031,4.0,0.0
2023-11-22 09:30:00-05:00,MLstrategie,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-22 09:30:00-05:00,MLstrategie,SPY,buy,market,fill,1,gtc,0.0,1,stock,454.9800109863281,2.0,0.0
2023-11-22 12:30:00-05:00,MLstrategie,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-22 12:30:00-05:00,MLstrategie,SPY,buy,market,fill,1,gtc,0.0,1,stock,454.9800109863281,1.0,0.0
